complexity,object_count,triangles_per_mesh,transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.5773545,0.23375,0.3436045,2.4699657754010693,0.8745690499999994,0.8975943999999995,-0.023025350000000055,0.9743477120623747
16x,100,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,0.800959,0.28935449999999996,0.5116045,2.768088970449743,1.1113600999999993,0.3592569,0.7521031999999993,3.0934968820362236
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.1e-05,9.999999999999972e-07,1.024390243902439,4.2e-05,4.2e-05,0.0,1.0
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,22.3989165,0.0404375,22.358479,553.9144729520865,29.190799649999995,0.048266649999999994,29.142532999999997,604.7819695379728
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,46.493207999999996,0.07760449999999999,46.415603499999996,599.1045364637359,67.94002295,0.08847259999999998,67.85155035,767.9216271478402
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,68.7513745,0.1518545,68.59952,452.7450585922709,94.35661635,0.17408815,94.1825282,542.0048196847401
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,126.7645835,0.30035449999999997,126.464229,422.0498893807152,155.7074271,0.34454789999999996,155.36287919999998,451.91808482942434
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,312.747708,0.595771,312.151937,524.9461756278838,439.4685732499999,0.67173715,438.7968360999999,654.2269893067547
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,561.6461664999999,1.2382499999999999,560.4079164999999,453.5805907530789,811.7274853999995,2.2771249999999994,809.4503603999996,356.47032350002735
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,983.5898955,2.317062,981.2728335,424.49873827286456,1482.9412826999999,2.7550350999999993,1480.1862476,538.2658401339424
16x,400,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,1649.9695004999999,3.0214375,1646.9480629999998,546.0875826489873,3436.7496857499996,3.60276105,3433.1469246999995,953.9210727700079
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.0404375,0.0029165,0.037521,13.865078004457398,0.048266649999999994,0.004836049999999999,0.04343059999999999,9.980593666318587
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.07760449999999999,0.0065415000000000004,0.07106299999999999,11.863410532752425,0.08847259999999998,0.008964299999999998,0.07950829999999999,9.86943765826668
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.1518545,0.013521,0.1383335,11.231011019894979,0.17408815,0.018959,0.15512915,9.182348752571338
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.30035449999999997,0.0270835,0.273271,11.089944061882695,0.34454789999999996,0.0340441,0.31050379999999994,10.120634706160537
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.595771,0.0548955,0.5408755000000001,10.852820358681496,0.67173715,0.07022949999999993,0.6015076500000001,9.564885838572119
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,1.2382499999999999,0.10897899999999999,1.129271,11.362280806393892,2.2771249999999994,0.13622769999999998,2.1408972999999993,16.71557987105412
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,2.317062,0.209396,2.107666,11.065454927505778,2.7550350999999993,0.26025685,2.4947782499999995,10.585831266304805
16x,400,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,3.0214375,0.3075835,2.7138540000000004,9.823145584857446,3.60276105,0.373242,3.22951905,9.652614255630395
