mode,budget_ms,seed,speed,collision_free_completion,reached_end,wall_contact,progress,distance_to_first_collision,collisions,distance,collisions_per_100m,predicted_k,avg_k,min_k,max_k,execution_overrun_pct
scene-bvh,1.50,1019,3.5,1,1,0,1.000000,-1.000000,0,123.171979,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1020,3.5,0,0,0,0.126198,-1.000000,0,15.470965,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1021,3.5,0,1,0,1.000000,42.378266,1,122.647832,0.815343,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1022,3.5,0,0,0,0.256089,-1.000000,0,31.608506,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1023,3.5,0,0,0,0.929979,-1.000000,0,115.069810,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1024,3.5,0,0,0,0.281952,-1.000000,0,34.538350,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1025,3.5,0,0,0,0.621070,-1.000000,0,76.620688,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1026,3.5,0,0,0,0.573544,-1.000000,0,70.921237,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1027,3.5,0,0,0,0.200101,24.088175,1,24.501509,4.081381,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1028,3.5,0,0,0,0.421188,-1.000000,0,51.663188,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1029,3.5,0,1,0,1.000000,112.303009,1,123.924983,0.806940,361.00,361.000000,361,361,0.000000
scene-bvh,1.50,1030,3.5,0,0,0,0.625249,11.625932,1,77.106173,1.296913,361.00,360.832740,126,361,0.071174
scene-bvh,1.50,1031,3.5,0,1,0,1.000000,57.422939,1,124.178534,0.805292,361.00,361.000000,361,361,0.000000
true-brute,2.00,1000,3.5,0,0,0,0.215305,7.766667,2,26.306667,7.602636,23.00,17.798356,3,19,100.000000
true-brute,2.00,1001,3.5,0,0,0,0.651565,17.300000,4,79.966667,5.002084,19.00,18.028333,2,19,99.983333
true-brute,2.00,1002,3.5,0,0,0,0.053479,-1.000000,0,6.833333,0.000000,21.00,18.309720,1,19,100.000000
true-brute,2.00,1003,3.5,0,0,0,0.047574,-1.000000,0,6.100000,0.000000,19.00,16.288043,3,19,100.000000
true-brute,2.00,1004,3.5,0,0,0,0.060352,-1.000000,0,7.726667,0.000000,19.00,17.264095,4,18,100.000000
true-brute,2.00,1005,3.5,0,0,0,0.161127,-1.000000,0,19.928889,0.000000,22.00,20.044458,4,22,99.812148
true-brute,2.00,1006,3.5,0,0,0,0.654497,18.513333,4,79.966667,5.002084,19.00,19.681000,0,21,99.983333
true-brute,2.00,1007,3.5,0,0,0,0.658459,31.393333,3,79.966667,3.751563,22.00,19.684167,0,21,99.983333
true-brute,2.00,1008,3.5,0,0,0,0.660660,42.260000,1,79.966667,1.250521,22.00,22.624833,3,24,99.966667
true-brute,2.00,1009,3.5,0,0,0,0.661776,5.633333,2,79.966667,2.501042,17.00,23.316167,4,24,99.950000
true-brute,2.00,1010,3.5,0,0,0,0.656318,22.540000,5,79.960000,6.253127,21.00,20.308833,0,24,99.916667
true-brute,2.00,1011,3.5,0,0,0,0.653644,17.166667,4,79.880000,5.007511,20.00,18.681500,0,22,99.983333
true-brute,2.00,1012,3.5,0,0,0,0.660563,14.166667,3,79.966667,3.751563,16.00,19.798000,1,23,99.916667
true-brute,2.00,1013,3.5,0,0,0,0.313465,22.460000,1,38.340000,2.608242,22.00,21.755219,5,23,99.898990
true-brute,2.00,1014,3.5,0,0,0,0.304920,36.500000,1,37.300000,2.680965,23.00,21.840595,6,23,99.965422
true-brute,2.00,1015,3.5,0,0,0,0.406613,16.460000,4,49.446667,8.089524,21.00,22.942677,7,24,100.000000
true-brute,2.00,1016,3.5,0,0,0,0.614198,19.233333,3,74.580000,4.022526,21.00,20.734177,1,23,99.964838
true-brute,2.00,1017,3.5,0,0,0,0.659697,-1.000000,0,79.966667,0.000000,21.00,21.370500,0,23,99.983333
true-brute,2.00,1018,3.5,0,0,0,0.658914,9.046667,8,79.940000,10.007506,21.00,21.017000,0,23,99.983333
true-brute,2.00,1019,3.5,0,0,0,0.511443,19.646667,4,62.620000,6.387736,21.00,20.231058,2,22,99.958255
true-brute,2.00,1020,3.5,0,0,0,0.291518,-1.000000,0,35.626667,0.000000,22.00,20.371019,5,22,99.964998
